date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:53:16	141684/141684	---M--	200	added ('OK')	text/html	etag:%2235928372e6048e53c2a56b6ab3d968d9-ssl%22	https://www.felixcloutier.com/x86/	D:/websites/felixcloutier/felixcloutier/www.felixcloutier.com/x86/index.html	(from )
01:53:16	0/0	---M--	200	added ('OK')	text/plain	etag:%220144712dd81be0c3d9724f5e56ce6685-ssl%22	https://www.felixcloutier.com/robots.txt		(from )
01:53:16	48/48	---M--	301	error ('Moved%20Permanently')	text/plain	date:Mon,%2002%20Jun%202025%2023:53:15%20GMT	http://www.felixcloutier.com/x86	D:/websites/felixcloutier/felixcloutier/www.felixcloutier.com/x86.0.delayed	(from https://www.felixcloutier.com/x86/)
01:53:16	19570/19570	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%2235928372e6048e53c2a56b6ab3d968d9-ssl-df%22	https://www.felixcloutier.com/x86	D:/websites/felixcloutier/felixcloutier/www.felixcloutier.com/x86.1.delayed	(from https://www.felixcloutier.com/x86/)
01:53:16	994/994	---M--	200	added ('OK')	text/css	etag:%2298ec31c2e001478db3bdda4b8cb1fd58-ssl%22	https://www.felixcloutier.com/x86/style.css	D:/websites/felixcloutier/felixcloutier/www.felixcloutier.com/x86/style.css	(from https://www.felixcloutier.com/x86/)
01:53:17	560/560	---M--	403	error ('Forbidden')	text/html	date:Mon,%2002%20Jun%202025%2023:53:16%20GMT	https://software.intel.com/en-us/download/intel-64-and-ia-32-architectures-sdm-combined-volumes-1-2a-2b-2c-2d-3a-3b-3c-3d-and-4	D:/websites/felixcloutier/felixcloutier/software.intel.com/en-us/download/intel-64-and-ia-32-architectures-sdm-combined-volumes-1-2a-2b-2c-2d-3a-3b-3c-3d-and-4.3.delayed	(from https://www.felixcloutier.com/x86/)
01:53:17	4217/4217	---MCZ	200	added ('OK')	text/html	etag:%2210ceb27c80baabfb75ea5f13cddfe6fe-ssl-df%22	https://www.felixcloutier.com/x86/aaa	D:/websites/felixcloutier/felixcloutier/www.felixcloutier.com/x86/aaa.html	(from https://www.felixcloutier.com/x86/)
01:53:18	4797/4797	---MCZ	200	added ('OK')	text/html	etag:%22df04d680355f1bb4b7eb0fcdcdd3676f-ssl-df%22	https://www.felixcloutier.com/x86/aad	D:/websites/felixcloutier/felixcloutier/www.felixcloutier.com/x86/aad.html	(from https://www.felixcloutier.com/x86/)
01:53:18	4725/4725	---MCZ	200	added ('OK')	text/html	etag:%22b915f3c93a9525dc8ae4d0d9163526ff-ssl-df%22	https://www.felixcloutier.com/x86/aam	D:/websites/felixcloutier/felixcloutier/www.felixcloutier.com/x86/aam.html	(from https://www.felixcloutier.com/x86/)
01:53:18	4344/4344	---MCZ	200	added ('OK')	text/html	etag:%22b0b7eb05a37438716d1c52685d36ae72-ssl-df%22	https://www.felixcloutier.com/x86/aas	D:/websites/felixcloutier/felixcloutier/www.felixcloutier.com/x86/aas.html	(from https://www.felixcloutier.com/x86/)
01:53:19	10533/10533	---MCZ	200	added ('OK')	text/html	etag:%22ccd932f6e2e1b53d6fc595b9561df3ef-ssl-df%22	https://www.felixcloutier.com/x86/adc	D:/websites/felixcloutier/felixcloutier/www.felixcloutier.com/x86/adc.html	(from https://www.felixcloutier.com/x86/)
01:53:19	7443/7443	---MCZ	200	added ('OK')	text/html	etag:%22f29d2e62b75e9f92d1ee3f61eb77e593-ssl-df%22	https://www.felixcloutier.com/x86/adcx	D:/websites/felixcloutier/felixcloutier/www.felixcloutier.com/x86/adcx.html	(from https://www.felixcloutier.com/x86/)
01:53:19	9268/9268	---MCZ	200	added ('OK')	text/html	etag:%2204cf5180bef494186041cac8bedf3924-ssl-df%22	https://www.felixcloutier.com/x86/add	D:/websites/felixcloutier/felixcloutier/www.felixcloutier.com/x86/add.html	(from https://www.felixcloutier.com/x86/)
